72,0.3078888889,+30.0405555555556,Magnitude: 15
Type: Barred spiral galaxy
Constellation: Andromeda;
73,0.3108333333,-15.3222222222222,Magnitude: 13
Type: Intermediate spiral galaxy
Constellation: Cetus;
74,0.3137222222,+30.0616666666667,Magnitude: 16
Type: Lenticular galaxy
Constellation: Andromeda;
75,0.324,+6.44916666666667,Magnitude: 14.8
Type: Lenticular galaxy
Constellation: Pisces;
76,0.3271666667,+29.9338888888889,Magnitude: 14
Type: Lenticular galaxy
Constellation: Andromeda;
77,0.3338055556,-22.5322222222222,Magnitude: 14.8
Type: Lenticular galaxy
Constellation: Cetus;
78,0.341,+0.833333333333333,Magnitude: 14.5
Type: Interacting galaxies
Constellation: Pisces;
79,0.3508055556,+22.5666666666667,Magnitude: 14.9
Type: Elliptical galaxy
Constellation: Andromeda;
80,0.3530555556,+22.3566666666667,Magnitude: 13.7
Type: Lenticular galaxy
Constellation: Andromeda;
81,0.3536666667,+22.3830555555556,Magnitude: 17.7
Type: Lenticular galaxy
Constellation: Andromeda;
82,0.3548611111,+22.4602777777778,Magnitude: 14.6
Type: Star
Constellation: Andromeda;
83,0.35625,+22.4333333333333,Magnitude: 14.2
Type: Elliptical galaxy
Constellation: Andromeda;
84,0.3593611111,+22.5930555555556,Magnitude: 15.8
Type: Star
Constellation: Andromeda;
85,0.3570833333,+22.5116666666667,Magnitude: 15.7
Type: Lenticular galaxy
Constellation: Andromeda;
86,0.3579722222,+22.5563888888889,Magnitude: 14.9
Type: Lenticular galaxy
Constellation: Andromeda;
87,0.3538888889,-48.6283333333333,Magnitude: 14.5
Type: Irregular galaxy
Constellation: Phoenix;
88,0.3560555556,-48.6402777777778,Magnitude: 15.2
Type: Spiral galaxy
Constellation: Phoenix;
89,0.3567777778,-48.6658333333333,Magnitude: 14.6
Type: Spiral galaxy
Constellation: Phoenix;
90,0.3642777778,+22.4,Magnitude: 13.7
Type: Spiral galaxy
Constellation: Andromeda;
91,0.3643611111,+22.3683333333333,Magnitude: 14.4
Type: Star
Constellation: Andromeda;
92,0.3587222222,-48.6244444444444,Magnitude: 14.3
Type: Spiral galaxy
Constellation: Phoenix;
93,0.3676111111,+22.4077777777778,Magnitude: 14.7
Type: Spiral galaxy
Constellation: Andromeda;
94,0.3703055556,+22.4788888888889,Magnitude: 15.6
Type: Lenticular galaxy
Constellation: Andromeda;
95,0.3704722222,+10.4913888888889,Magnitude: 13.4
Type: Spiral galaxy
Constellation: Pisces;
96,0.3716111111,+22.5466666666667,Magnitude: 17
Type: Lenticular galaxy
Constellation: Andromeda;
97,0.3750277778,+29.7452777777778,Magnitude: 13.5
Type: Elliptical galaxy
Constellation: Andromeda;
98,0.3804166667,-45.2691666666667,Magnitude: 12.8
Type: Barred spiral galaxy
Constellation: Phoenix;
99,0.3998611111,+15.7705555555556,Magnitude: 14
Type: Spiral galaxy
Constellation: Pisces;
100,0.4007777778,+16.4861111111111,Magnitude: 14.6
Type: Spiral galaxy
Constellation: Pisces;
101,0.3985,-32.5358333333333,Magnitude: 12.8
Type: Spiral galaxy
Constellation: Sculptor;
102,0.4101388889,-13.9561111111111,Magnitude: 14
