Type: Lenticular galaxy
Constellation: Cetus;
275,0.8512222222,-7.06555555555556,Magnitude: 13
Type: Barred spiral galaxy
Constellation: Cetus;
276,0.8684444444,-22.6805555555556,Magnitude: 15.7
Type: Barred spiral galaxy
Constellation: Cetus;
277,0.8547777778,-8.59666666666667,Magnitude: 13
Type: Lenticular galaxy
Constellation: Cetus;
278,0.8678888889,+47.5502777777778,Magnitude: 10.5
Type: Spiral galaxy
Constellation: Cassiopeia;
279,0.8691666667,-2.21861111111111,Magnitude: 14
Type: Lenticular galaxy
Constellation: Cetus;
280,0.8750833333,+24.3511111111111,Magnitude: 14.6
Type: Spiral galaxy
Constellation: Andromeda;
281,0.8736388889,+56.565,Magnitude: 7.3
Type: Diffuse nebula and star cluster
Constellation: Cassiopeia;
282,0.8783888889,+30.6391666666667,Magnitude: 14.7
Type: Elliptical galaxy
Constellation: Pisces;
283,0.887,-13.1638888888889,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
284,0.9,-13.15,Magnitude: 15
Type: Elliptical galaxy
Constellation: Cetus;
285,0.8916111111,-13.1608333333333,Magnitude: 14.9
Type: Lenticular galaxy
Constellation: Cetus;
286,0.8917777778,-13.1127777777778,Magnitude: 14
Type: Lenticular galaxy
Constellation: Cetus;
287,0.8911944444,+32.4822222222222,Magnitude: 14.8
Type: Lenticular galaxy
Constellation: Pisces;
288,0.87925,-26.5786111111111,Magnitude: 10
Type: Globular cluster
Constellation: Sculptor;
289,0.87825,-31.2077777777778,Magnitude: 11.6
Type: Spiral galaxy
Constellation: Sculptor;
290,0.8539166667,-73.1616666666667,Magnitude: 12.1
Type: Open cluster
Constellation: Tucana;
291,0.8916111111,-8.76777777777778,Magnitude: 14
Type: Barred spiral galaxy
Constellation: Cetus;
292,0.8772222222,-72.8002777777778,Magnitude: 2.8
Type: Irregular galaxy
Constellation: Tucana;
293,0.9044444444,-7.23583333333333,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
294,0.8848888889,-73.3802777777778,Magnitude: 12.7
Type: Open cluster
Constellation: Tucana;
295,0.9188055556,+31.5422222222222,Magnitude: 13.5
Type: Unknown
Constellation: Pisces;
296,0.9226944444,+31.6769444444444,Magnitude: 15.4
Type: Spiral galaxy
Constellation: Pisces;
297,0.9163611111,-7.34966666666667,Magnitude: 17.3
Type: Elliptical galaxy
Constellation: Cetus;
298,0.9173055556,-7.3325,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Cetus;
299,0.8901944444,-72.1966666666667,Magnitude: 12.1
Type: Open cluster
Constellation: Tucana;
300,0.9148611111,-37.6830555555556,Magnitude: 8.7
Type: Spiral galaxy
Constellation: Sculptor;
301,0.9384166667,-10.6736111111111,Magnitude: 15.5
Type: Spiral galaxy
Constellation: Cetus;
302,0.9333333333,-10.65,Magnitude: 
Type: Star
Constellation: Cetus;
303,0.91525,-16.6538888888889,Magnitude: 15.5
Type: Lenticular galaxy
Constellation: Cetus;
304,0.9350277778,+24.1275,Magnitude: 14
Type: Lenticular galaxy
Constellation: Andromeda;
305,0.9329722222,+12.1236111111111,Magnitude: 15.4
Type: Asterism
Constellation: Pisces;
306,0.9039722222,-72.2408333333333,Magnitude: 12.2
Type: Open cluster
Constellation: Tucana;
307,0.9423888889,-1.77222222222222,Magnitude: 14.1
Type: Lenticular galaxy
Constellation: Cetus;
308,0.9395555556,-1.77916666666667,Magnitude: 
Type: Star
Constellation: Cetus;
309,0.9451944444,-9.91388888888889,Magnitude: 12
Type: Spiral galaxy
Constellation: Cetus;
310,0.95,-1.76666666666667,Magnitude: 
Type: Star
Constellation: Cetus;
311,0.9591111111,+30.2805555555556,Magnitude: 14.1
Type: Lenticular galaxy
Constellation: Pisces;
312,0.9376944444,-52.7830555555556,Magnitude: 
Type: Elliptical galaxy
Constellation: Phoenix;
313,0.9666666667,+30.35,Magnitude: 
Type: Triple star
Constellation: Pisces;
314,0.9478888889,-31.9625,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Sculptor;
315,0.9635833333,+30.3525,Magnitude: 12.5
Type: Elliptical galaxy
Constellation: Pisces;
316,0.9666666667,+30.35,Magnitude: 
Type: Star
Constellation: Pisces;
317,0.96125,+43.7919444444444,Magnitude: 14.5
Type: Interacting galaxies
Constellation: Andromeda;
318,0.9681111111,+30.4255555555556,Magnitude: 15.2
Type: Lenticular galaxy
Constellation: Pisces;
319,0.9493055556,-43.8394444444444,Magnitude: 15
Type: Spiral galaxy
Constellation: Phoenix;
320,0.9795277778,-20.8402777777778,Magnitude: 15
Type: Spiral galaxy
Constellation: Cetus;
321,0.9608888889,-5.08611111111111,Magnitude: 16
Type: Elliptical galaxy
Constellation: Cetus;
322,0.9527222222,-43.7272222222222,Magnitude: 14.1
Type: Lenticular galaxy
Constellation: Phoenix;
323,0.9448333333,-52.9763888888889,Magnitude: 
Type: Elliptical galaxy
Constellation: Phoenix;
324,0.9540833333,-40.9580555555556,Magnitude: 13.5
Type: Lenticular galaxy
Constellation: Phoenix;
325,0.9632777778,-5.1125,Magnitude: 15
Type: Spiral galaxy
Constellation: Cetus;
326,0.9729722222,+26.8658333333333,Magnitude: 14.9
Type: Dumbbell galaxy
Constellation: Pisces;
327,0.9653611111,-5.13055555555556,Magnitude: 13
Type: Spiral galaxy
Constellation: Cetus;
328,0.9493055556,-52.9241666666667,Magnitude: 
Type: Spiral galaxy
Constellation: Phoenix;
329,0.9670833333,-5.07138888888889,Magnitude: 13
Type: Spiral galaxy
Constellation: Cetus;
330,0.9385277778,-72.4638888888889,Magnitude: 9.8
Type: Globular cluster
Constellation: Tucana;
331,0.9510555556,-2.7575,Magnitude: 15.2
Type: Barred spiral galaxy
Constellation: Cetus;
332,0.9803333333,+7.11111111111111,Magnitude: 14.9
Type: Lenticular galaxy
Constellation: Pisces;
333,0.9809166667,-16.4688888888889,Magnitude: 13.9
Type: Interacting galaxies
Constellation: Cetus;
334,0.9805,-35.115,Magnitude: 14
Type: Barred spiral galaxy
Constellation: Sculptor;
335,0.9888333333,-18.2347222222222,Magnitude: 15.8
Type: Spiral galaxy
Constellation: Cetus;
336,0.9828055556,-18.7436111111111,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
337,0.9972777778,-7.57583333333333,Magnitude: 11
Type: Barred spiral galaxy
Constellation: Cetus;
338,1.0101666667,+30.6688888888889,Magnitude: 14
Type: Spiral galaxy
Constellation: Pisces;
339,0.9635833333,-74.4666666666667,Magnitude: 12
Type: Globular cluster
Constellation: Tucana;
340,1.0096944444,-6.86666666666667,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
341,1.0126944444,-9.18555555555556,Magnitude: 15.5
Type: Spiral galaxy
Constellation: Cetus;
342,1.0138611111,-6.7725,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Cetus;
343,0.9733055556,-23.2252777777778,Magnitude: 
Type: Interacting galaxies
Constellation: Cetus;
344,1.0265277778,-23.2647222222222,Magnitude: 
Type: Barred spiral galaxy
Constellation: Cetus;
345,1.0228055556,-6.88444444444444,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Cetus;
346,0.9883333333,-72.1833333333333,Magnitude: 
Type: Open cluster
Constellation: Tucana;
347,1.0264444444,-6.73388888888889,Magnitude: 15.5
Type: Spiral galaxy
Constellation: Cetus;
348,1.0144166667,-53.2447222222222,Magnitude: 
Type: Spiral galaxy
Constellation: Phoenix;
349,1.03075,-6.8,Magnitude: 13.5
Type: Lenticular galaxy
Constellation: Cetus;
350,1.0324166667,-6.79583333333333,Magnitude: 15
Type: Lenticular galaxy
Constellation: Cetus;
351,1.03275,-1.93694444444444,Magnitude: 14.3
Type: Spiral galaxy
Constellation: Cetus;
352,1.0358333333,-4.24555555555556,Magnitude: 12.5
Type: Barred spiral galaxy
Constellation: Cetus;
353,1.0401944444,-1.95805555555556,Magnitude: 14.7
Type: Spiral galaxy
Constellation: Cetus;
354,1.0546111111,+22.3425,Magnitude: 14.2
Type: Barred spiral galaxy
Constellation: Pisces;
355,1.0519444444,-6.32388888888889,Magnitude: 15
Type: Lenticular galaxy
Constellation: Cetus;
356,1.0519722222,-6.98861111111111,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Cetus;
357,1.0560833333,-6.33944444444444,Magnitude: 12
Type: Spiral galaxy
Constellation: Cetus;
358,1.0833333333,+62.0333333333333,Magnitude: 
Type: Asterism
Constellation: Cassiopeia;
359,1.0713888889,-0.765,Magnitude: 14.8
Type: Lenticular galaxy
Constellation: Cetus;
360,1.0476111111,-65.61,Magnitude: 
Type: Spiral galaxy
Constellation: Tucana;
361,1.0368888889,-71.6044444444444,Magnitude: 12.4
Type: Open cluster
Constellation: Tucana;
362,1.0539722222,-70.8483333333333,Magnitude: 8
Type: Globular cluster
Constellation: Tucana;
363,1.1043888889,-16.5427777777778,Magnitude: 15
Type: Lenticular galaxy
Constellation: Cetus;
364,1.0780555556,-0.803055555555556,Magnitude: 14.6
Type: Lenticular galaxy
Constellation: Cetus;
365,1.0718611111,-35.1202777777778,Magnitude: 12.5
Type: Barred spiral galaxy
Constellation: Sculptor;
366,1.1166666667,+62.2333333333333,Magnitude: 
Type: Open cluster
Constellation: Cassiopeia;
367,1.0969166667,-12.1283333333333,Magnitude: 15.3
Type: Spiral galaxy
Constellation: Cetus;
368,1.0727777778,-43.2769444444445,Magnitude: 
Type: Lenticular galaxy
Constellation: Phoenix;
369,1.08575,-17.7591666666667,Magnitude: 14.3
Type: Spiral galaxy
Constellation: Cetus;
370,1.1123888889,+32.4286111111111,Magnitude: 
Type: Triple star
Constellation: Pisces;
371,1.0569444444,-72.0666666666667,Magnitude: 
Type: Open cluster
Constellation: Tucana;
372,1.1166666667,+32.4333333333333,Magnitude: 
Type: Triple star
Constellation: Pisces;
373,1.1161666667,+32.3083333333333,Magnitude: 
Type: Elliptical galaxy
Constellation: Pisces;
374,1.1183333333,+32.795,Magnitude: 14.3
Type: Lenticular galaxy
Constellation: Pisces;
375,1.1183055556,+32.3480555555556,Magnitude: 16.5
Type: Elliptical galaxy
Constellation: Pisces;
376,1.0648333333,-72.8261111111111,Magnitude: 11.2
Type: Open cluster
Constellation: Tucana;
377,1.1096666667,-20.3325,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
378,1.1033611111,-30.1783333333333,Magnitude: 
Type: Barred spiral galaxy
Constellation: Sculptor;
379,1.1210833333,+32.5205555555556,Magnitude: 14
Type: Lenticular galaxy
Constellation: Pisces;
380,1.1215833333,+32.4830555555556,Magnitude: 13.9
Type: Elliptical galaxy
Constellation: Pisces;
381,1.1388611111,+61.5838888888889,Magnitude: 9.3
Type: Open cluster
Constellation: Cassiopeia;
382,1.1233611111,+32.4038888888889,Magnitude: 14.2
Type: Elliptical galaxy
Constellation: Pisces;
383,1.1236111111,+32.4125,Magnitude: 13.6
Type: Radio galaxy
Constellation: Pisces;
384,1.1236388889,+32.2927777777778,Magnitude: 14.3
Type: Elliptical galaxy
Constellation: Pisces;
385,1.1242777778,+32.32,Magnitude: 14.3
Type: Lenticular galaxy
Constellation: Pisces;
386,1.1253888889,+32.3619444444444,Magnitude: 15.4
Type: Elliptical galaxy
Constellation: Pisces;
387,1.1258333333,+32.3911111111111,Magnitude: 17.2
Type: Elliptical galaxy
Constellation: Pisces;
388,1.1297777778,+32.31,Magnitude: 15.5
Type: Elliptical galaxy
Constellation: Pisces;
389,1.1416944444,+39.6952777777778,Magnitude: 15
Type: Lenticular galaxy
Constellation: Andromeda;
390,1.1369166667,+32.4533333333333,Magnitude: 
Type: Star
Constellation: Pisces;
391,1.1229722222,+0.925833333333333,Magnitude: 14.6
Type: Lenticular galaxy
Constellation: Cetus;
392,1.1398888889,+33.1336111111111,Magnitude: 13.9
Type: Lenticular galaxy
Constellation: Pisces;
393,1.1436388889,+39.6438888888889,Magnitude: 13.3
Type: Lenticular galaxy
Constellation: Andromeda;
394,1.1405555556,+33.1477777777778,Magnitude: 14.8
Type: Lenticular galaxy
Constellation: Pisces;
395,1.0855555556,-71.9969444444445,Magnitude: 
Type: Open cluster
Constellation: Tucana;
396,1.1356944444,+4.53083333333333,Magnitude: 16.6
Type: Lenticular galaxy
Constellation: Pisces;
397,1.1419722222,+33.1091666666667,Magnitude: 15.7
Type: Elliptical galaxy
Constellation: Pisces;
398,1.1482777778,+32.5144444444444,Magnitude: 15.4
Type: Lenticular galaxy
Constellation: Pisces;
399,1.1498055556,+32.6341666666667,Magnitude: 14.5
Type: Barred spiral galaxy
Constellation: Pisces;
400,1.15,+32.7333333333333,Magnitude: 
Type: Star
Constellation: Pisces;
401,1.15,+32.7666666666667,Magnitude: 
Type: Star
Constellation: Pisces;
402,1.15,+32.8166666666667,Magnitude: 
Type: Star
Constellation: Pisces;
403,1.154,+32.7522222222222,Magnitude: 13.3
Type: Lenticular galaxy
Constellation: Pisces;
404,1.1575,+35.7180555555556,Magnitude: 11.3
Type: Lenticular galaxy
Constellation: Andromeda;
405,1.1333333333,-46.6666666666667,Magnitude: 
Type: Double star
Constellation: Phoenix;
406,1.1233611111,-69.8763888888889,Magnitude: 12.5
Type: Spiral galaxy
Constellation: Tucana;
407,1.1768611111,+33.1266666666667,Magnitude: 14.3
Type: Spiral galaxy
Constellation: Pisces;
408,1.1833333333,+33.1,Magnitude: 
Type: Star
Constellation: Pisces;
409,1.1592222222,-35.8052777777778,Magnitude: 12
Type: Elliptical galaxy
Constellation: Sculptor;
410,1.1830833333,+33.1519444444444,Magnitude: 12.6
Type: Elliptical galaxy
Constellation: Pisces;
411,1.1322222222,-71.7680555555556,Magnitude: 11
Type: Open cluster
Constellation: Tucana;
412,1.1723611111,-20.0158333333333,Magnitude: 
Type: Unknown
Constellation: Cetus;
413,1.20875,-2.79361111111111,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
414,1.18825,+33.1133333333333,Magnitude: 14.5
Type: Interacting galaxies
Constellation: Pisces;
415,1.1682222222,-35.4911111111111,Magnitude: 13
Type: Spiral galaxy
Constellation: Sculptor;
416,1.1330555556,-72.3555555555556,Magnitude: 11.4
Type: Globular cluster
Constellation: Tucana;
417,1.1848888889,-18.1483333333333,Magnitude: 15.2
Type: Lenticular galaxy
Constellation: Cetus;
418,1.1765833333,-30.2197222222222,Magnitude: 12.9
Type: Spiral galaxy
Constellation: Sculptor;
419,1.13875,-72.8841666666667,Magnitude: 10.6
Type: Globular cluster
Constellation: Tucana;
420,1.2027222222,+32.1233333333333,Magnitude: 13.4
Type: Lenticular galaxy
Constellation: Pisces;
421,1.2,+32.15,Magnitude: 
Type: Unknown
Constellation: Pisces;
422,1.1568055556,-71.7663888888889,Magnitude: 13.5
Type: Open cluster
Constellation: Tucana;
423,1.1896388889,-29.2352777777778,Magnitude: 
Type: Spiral galaxy
Constellation: Sculptor;
424,1.1909722222,-38.0836111111111,Magnitude: 12
Type: Spiral galaxy
Constellation: Sculptor;
425,1.2174722222,+38.7686111111111,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Andromeda;
426,1.2135277778,-0.290555555555556,Magnitude: 14.4
Type: Elliptical galaxy
Constellation: Cetus;
427,1.2053333333,-32.0619444444444,Magnitude: 14.9
Type: Spiral galaxy
Constellation: Sculptor;
428,1.2155,+0.981111111111111,Magnitude: 11.9
Type: Irregular galaxy
Constellation: Cetus;
429,1.2159444444,-0.345,Magnitude: 14.4
Type: Lenticular galaxy
Constellation: Cetus;
430,1.2166944444,-0.2525,Magnitude: 13.6
Type: Elliptical galaxy
Constellation: Cetus;
431,1.2346388889,+33.7041666666667,Magnitude: 14
Type: Lenticular galaxy
Constellation: Andromeda;
432,1.1961666667,-61.5277777777778,Magnitude: 
Type: Lenticular galaxy
Constellation: Tucana;
433,1.25,+60.1333333333333,Magnitude: 
Type: Open cluster
Constellation: Cassiopeia;
434,1.2037777778,-58.2463888888889,Magnitude: 13
Type: Spiral galaxy
Constellation: Tucana;
435,1.2333333333,+2.07111111111111,Magnitude: 15
Type: Spiral galaxy
Constellation: Cetus;
436,1.2666666667,+58.8166666666667,Magnitude: 8
Type: Open cluster
Constellation: Cassiopeia;
437,1.2395555556,+5.92722222222222,Magnitude: 14
Type: Spiral galaxy
Constellation: Pisces;
438,1.2259722222,-37.9022222222222,Magnitude: 12
Type: Spiral galaxy
Constellation: Sculptor;
439,1.2298055556,-31.7477777777778,Magnitude: 13
Type: Lenticular galaxy
Constellation: Sculptor;
440,1.2134722222,-58.2827777777778,Magnitude: 13.7
Type: Spiral galaxy
Constellation: Tucana;
441,1.2308888889,-31.7888888888889,Magnitude: 
Type: Spiral galaxy
Constellation: Sculptor;
442,1.2440277778,-1.02055555555556,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Cetus;
443,1.2521111111,+33.3772222222222,Magnitude: 14.4
Type: Spiral galaxy
Constellation: Pisces;
444,1.2638055556,+31.0805555555556,Magnitude: 14.7
Type: Spiral galaxy
Constellation: Pisces;
445,1.2440833333,+1.82916666666667,Magnitude: 15
Type: Lenticular galaxy
Constellation: Cetus;
446,1.2676944444,+4.29388888888889,Magnitude: 13.8
Type: Lenticular galaxy
Constellation: Pisces;
447,1.2604722222,+33.0677777777778,Magnitude: 14
Type: Spiral galaxy
Constellation: Pisces;
448,1.2546388889,-1.62638888888889,Magnitude: 13.2
Type: Lenticular galaxy
Constellation: Cetus;
449,1.2686666667,+33.0894444444444,Magnitude: 15.5
Type: Spiral galaxy
Constellation: Pisces;
450,1.2591111111,-0.854722222222222,Magnitude: 13
Type: Spiral galaxy
Constellation: Cetus;
451,1.2701111111,+33.0641666666667,Magnitude: 15.5
Type: Spiral galaxy
Constellation: Pisces;
452,1.2708333333,+31.0336111111111,Magnitude: 14
Type: Spiral galaxy
Constellation: Pisces;
453,1.2666666667,+33.0833333333333,Magnitude: 
Type: Triple star
Constellation: Pisces;
454,1.2405833333,-55.3944444444444,Magnitude: 13.4
Type: Interacting galaxies
Constellation: Phoenix;
455,1.2660277778,+5.17833333333333,Magnitude: 13.9
Type: Spiral galaxy
Constellation: Pisces;
456,1.2333333333,-73.2666666666667,Magnitude: 14.2
Type: Open cluster
Constellation: Tucana;
457,1.3277777778,+58.2833333333333,Magnitude: 7
Type: Open cluster
Constellation: Cassiopeia;
458,1.2481666667,-71.5497222222222,Magnitude: 11.9
Type: Open cluster
Constellation: Tucana;
459,1.3023055556,+17.5622222222222,Magnitude: 15.7
Type: Spiral galaxy
Constellation: Pisces;
460,1.2448611111,-73.2975,Magnitude: 
Type: Open cluster
Constellation: Tucana;
461,1.2890277778,-33.8402777777778,Magnitude: 13
Type: Spiral galaxy
Constellation: Sculptor;
462,1.3030555556,+4.22611111111111,Magnitude: 
Type: Galaxy
Constellation: Pisces;
463,1.3161944444,+16.3255555555556,Magnitude: 15.2
Type: Lenticular galaxy
Constellation: Pisces;
464,1.3184444444,+34.9466666666667,Magnitude: 
Type: Double star
Constellation: Andromeda;
465,1.2666666667,-73.3166666666667,Magnitude: 
Type: Open cluster
Constellation: Tucana;
466,1.2870555556,-58.9097222222222,Magnitude: 
Type: Lenticular galaxy
Constellation: Tucana;
467,1.3195,+3.30055555555556,Magnitude: 13.3
Type: Lenticular galaxy
Constellation: Pisces;
468,1.3301388889,+32.7672222222222,Magnitude: 15.1
Type: Galaxy
Constellation: Pisces;
469,1.3258333333,+14.8713888888889,Magnitude: 15
Type: Galaxy
Constellation: Pisces;
470,1.3291666667,+3.40972222222222,Magnitude: 12.4
Type: Spiral galaxy
Constellation: Pisces;
471,1.3331944444,+14.7866666666667,Magnitude: 14
Type: Lenticular galaxy
Constellation: Pisces;
472,1.3413333333,+32.7088888888889,Magnitude: 14.2
Type: Galaxy
Constellation: Pisces;
473,1.3319722222,+16.5444444444444,Magnitude: 13.4
Type: Spiral galaxy
Constellation: Pisces;
474,1.3352222222,+3.41555555555556,Magnitude: 12.9
Type: Lenticular galaxy
Constellation: Pisces;
475,1.3338888889,+14.8611111111111,Magnitude: 17.4
Type: Galaxy
Constellation: Pisces;
476,1.3388333333,+16.02,Magnitude: 15.2
Type: Galaxy
Constellation: Pisces;
477,1.3556388889,+40.4886111111111,Magnitude: 14
Type: Spiral galaxy
Constellation: Andromeda;
478,1.3359166667,-22.3775,Magnitude: 14.8
Type: Spiral galaxy
Constellation: Cetus;
479,1.3544166667,+3.86222222222222,Magnitude: 15.1
Type: Spiral galaxy
Constellation: Pisces;
480,1.3428611111,-9.88027777777778,Magnitude: 16.3
Type: Galaxy
Constellation: Cetus;
481,1.3534444444,-9.21111111111111,Magnitude: 14
Type: Lenticular galaxy
Constellation: Cetus;
482,1.339,-40.9666666666667,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Phoenix;
483,1.3656666667,+33.5211111111111,Magnitude: 14
Type: Spiral galaxy
Constellation: Pisces;
484,1.3263611111,-58.5247222222222,Magnitude: 13
Type: Elliptical galaxy
Constellation: Tucana;
485,1.3576944444,+7.01777777777778,Magnitude: 14.2
Type: Spiral galaxy
Constellation: Pisces;
486,1.3696111111,+5.41111111111111,Magnitude: 
Type: Galaxy
Constellation: Pisces;
487,1.3653055556,-16.3702777777778,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
488,1.3630555556,+5.255,Magnitude: 11.4
Type: Spiral galaxy
Constellation: Pisces;
489,1.365,+9.20666666666667,Magnitude: 13.4
Type: Lenticular galaxy
Constellation: Pisces;
490,1.3674722222,+5.36722222222222,Magnitude: 15.6
Type: Spiral galaxy
Constellation: Pisces;
491,1.3556388889,-34.0633333333333,Magnitude: 13.2
Type: Spiral galaxy
Constellation: Sculptor;
492,1.3704444444,+5.41694444444445,Magnitude: 15.5
Type: Galaxy
Constellation: Pisces;
493,1.3693055556,+0.946666666666667,Magnitude: 13
Type: Spiral galaxy
Constellation: Cetus;
494,1.3820555556,+33.1738888888889,Magnitude: 13.8
Type: Spiral galaxy
Constellation: Pisces;
495,1.38225,+33.4713888888889,Magnitude: 14
Type: Spiral galaxy
Constellation: Pisces;
496,1.3865277778,+33.5291666666667,Magnitude: 14.3
Type: Spiral galaxy
Constellation: Pisces;
497,1.3733055556,-0.875555555555555,Magnitude: 14.1
Type: Spiral galaxy
Constellation: Cetus;
498,1.3864722222,+33.4894444444444,Magnitude: 16
Type: Lenticular galaxy
Constellation: Pisces;
499,1.3865277778,+33.4602777777778,Magnitude: 13.3
Type: Lenticular galaxy
Constellation: Pisces;
500,1.3776111111,+5.38722222222222,Magnitude: 15.2
Type: Galaxy
Constellation: Pisces;
501,1.3895555556,+33.4330555555556,Magnitude: 15.2
Type: Elliptical galaxy
Constellation: Pisces;
502,1.3821388889,+9.04916666666667,Magnitude: 13.8
Type: Lenticular galaxy
Constellation: Pisces;
503,1.3912222222,+33.3316666666667,Magnitude: 15.1
Type: Elliptical galaxy
Constellation: Pisces;
504,1.3911111111,+33.2044444444444,Magnitude: 14
Type: Lenticular galaxy
Constellation: Pisces;
505,1.3825555556,+9.46888888888889,Magnitude: 15.1
Type: Lenticular galaxy
Constellation: Pisces;
506,1.4,+33.2333333333333,Magnitude: 14.9
Type: Star
Constellation: Pisces;
507,1.3944444444,+33.2561111111111,Magnitude: 13
Type: Lenticular galaxy
Constellation: Pisces;
508,1.3946111111,+33.2805555555556,Magnitude: 14.5
Type: Elliptical galaxy
Constellation: Pisces;
509,1.3900555556,+9.43361111111111,Magnitude: 14.7
Type: Lenticular galaxy
Constellation: Pisces;
510,1.4,+33.4333333333333,Magnitude: 
Type: Double star
Constellation: Pisces;
511,1.3918888889,+11.2908333333333,Magnitude: 15.4
Type: Elliptical galaxy
Constellation: Pisces;
512,1.3999722222,+33.9080555555556,Magnitude: 14
Type: Spiral galaxy
Constellation: Andromeda;
513,1.4074722222,+33.7991666666667,Magnitude: 13.4
Type: Spiral galaxy
Constellation: Andromeda;
514,1.4011111111,+12.9172222222222,Magnitude: 12.8
Type: Spiral galaxy
Constellation: Pisces;
515,1.4107222222,+33.4727777777778,Magnitude: 14.3
Type: Lenticular galaxy
Constellation: Pisces;
516,1.40225,+9.55166666666667,Magnitude: 14.3
Type: Lenticular galaxy
Constellation: Pisces;
517,1.4121944444,+33.4297222222222,Magnitude: 13.6
Type: Lenticular galaxy
Constellation: Pisces;
518,1.4049444444,+9.33083333333333,Magnitude: 14.4
Type: Spiral galaxy
Constellation: Pisces;
519,1.4079722222,-1.64194444444444,Magnitude: 15.3
Type: Elliptical galaxy
Constellation: Cetus;
520,1.4098333333,+3.79027777777778,Magnitude: 12.4
Type: Interacting galaxies
Constellation: Pisces;
521,1.4093888889,+1.73138888888889,Magnitude: 12.9
Type: Spiral galaxy
Constellation: Cetus;
522,1.41275,+9.99472222222222,Magnitude: 14.2
Type: Spiral galaxy
Constellation: Pisces;
523,1.4224722222,+34.0247222222222,Magnitude: 13.5
Type: Irregular galaxy
Constellation: Andromeda;
524,1.41325,+9.53888888888889,Magnitude: 11.5
Type: Lenticular galaxy
Constellation: Pisces;
525,1.4147222222,+9.70305555555555,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Pisces;
526,1.3983888889,-35.0652777777778,Magnitude: 14.5
Type: Interacting galaxies
Constellation: Sculptor;
527,1.3995,-35.1141666666667,Magnitude: 13
Type: Spiral galaxy
Constellation: Sculptor;
528,1.426,+33.6711111111111,Magnitude: 13.7
Type: Lenticular galaxy
Constellation: Andromeda;
529,1.4278888889,+34.7127777777778,Magnitude: 13.1
Type: Elliptical galaxy
Constellation: Andromeda;
530,1.4116111111,-1.58777777777778,Magnitude: 14
Type: Lenticular galaxy
Constellation: Cetus;
531,1.4386388889,+34.7538888888889,Magnitude: 14.9
Type: Spiral galaxy
Constellation: Andromeda;
532,1.4214722222,+9.26416666666667,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Pisces;
533,1.4254166667,+1.75888888888889,Magnitude: 13.1
Type: Elliptical galaxy
Constellation: Cetus;
534,1.4124166667,-38.1291666666667,Magnitude: 14
Type: Lenticular galaxy
Constellation: Sculptor;
535,1.4253333333,-1.40888888888889,Magnitude: 14.9
Type: Lenticular galaxy
Constellation: Cetus;
536,1.4394166667,+34.7030555555556,Magnitude: 13.2
Type: Spiral galaxy
Constellation: Andromeda;
537,1.4224722222,+34.0247222222222,Magnitude: 13.5
Type: Irregular galaxy
Constellation: Andromeda;
538,1.4239444444,-1.55111111111111,Magnitude: 14.7
Type: Spiral galaxy
Constellation: Cetus;
539,1.4226944444,-18.1638888888889,Magnitude: 13.9
Type: Spiral galaxy
Constellation: Cetus;
540,1.4524722222,-20.0366666666667,Magnitude: 
Type: Lenticular galaxy
Constellation: Cetus;
541,1.4289722222,-1.37972222222222,Magnitude: 14.6
Type: Lenticular galaxy
Constellation: Cetus;
542,1.4419166667,+34.6755555555556,Magnitude: 15.4
Type: Spiral galaxy
Constellation: Andromeda;
543,1.4305555556,-1.29277777777778,Magnitude: 15
Type: Lenticular galaxy
Constellation: Cetus;
544,1.42,-38.0938888888889,Magnitude: 15.1
Type: Lenticular galaxy
Constellation: Sculptor;
545,1.4331111111,-1.34027777777778,Magnitude: 14.4
Type: Lenticular galaxy
Constellation: Cetus;
546,1.4202222222,-38.0697222222222,Magnitude: 14.8
Type: Spiral galaxy
Constellation: Sculptor;
547,1.4335555556,-1.34527777777778,Magnitude: 14.4
Type: Elliptical galaxy
Constellation: Cetus;
548,1.4340555556,-1.22583333333333,Magnitude: 15.1
Type: Elliptical galaxy
Constellation: Cetus;
549,1.4245277778,-38.2675,Magnitude: 13
Type: Spiral galaxy
Constellation: Sculptor;
550,1.4451666667,+2.02222222222222,Magnitude: 13.6
Type: Spiral galaxy
Constellation: Cetus;
551,1.4613333333,+37.1827777777778,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Andromeda;
552,1.4666666667,+33.4666666666667,Magnitude: 
