M27,19.9933333333,22.7166666667,"Other Names: NGC 6853 Dumbbell Nebula
TYPE: Planetary Nebula
Constellation: Vulpecula
Viewing Season: Summer
Viewing Difficulty: Easy
Size: 8.0x5.7
Distance (ly): 1250";
M28,18.4083333333,-23.1333333333,"Other Names: NGC 6626
TYPE: Globular Cluster
Constellation: Sagittarius
Viewing Season: Summer
Viewing Difficulty: Easy
Size: 11.2
Distance (ly): 17900";
M29,20.3983333333,38.5333333333,"Other Names: NGC 6913
TYPE: Open Cluster
Constellation: Cygnus
Viewing Season: Summer
Viewing Difficulty: Easy
Size: 7
Distance (ly): 4000";
M30,21.6733333333,-22.8166666667,"Other Names: NGC 7099
TYPE: Globular Cluster
Constellation: Capricornus
Viewing Season: Autumn
Viewing Difficulty: Easy
Size: 11
Distance (ly): 24800";
M31,0.7116666667,41.2666666667,"Other Names: NGC 224 Andromeda Galaxy
TYPE: Spiral Galaxy
Constellation: Andromeda
Viewing Season: Autumn
Viewing Difficulty: Easy
Size: 178x63
Distance (ly): 2900000";
M32,0.7116666667,40.8666666667,"Other Names: NGC 221 Satellite of M31
TYPE: Elliptical Galaxy
Constellation: Andromeda
Viewing Season: Autumn
Viewing Difficulty: Easy
Size: 8x6
Distance (ly): 2900000";
M33,1.565,30.65,"Other Names: NGC 598 Triangulum/Pinwheel Galaxy
TYPE: Spiral Galaxy
Constellation: Triangulum
Viewing Season: Autumn
Viewing Difficulty: Hard
Size: 73x45
Distance (ly): 3000000";
M34,2.7,42.7833333333,"Other Names: NGC 1039
TYPE: Open Cluster
Constellation: Perseus
Viewing Season: Autumn
Viewing Difficulty: Easy
Size: 35
Distance (ly): 1400";
M35,6.1483333333,24.3333333333,"Other Names: NGC 2168
TYPE: Open Cluster
Constellation: Gemini
Viewing Season: Winter
Viewing Difficulty: Very Easy
Size: 28
Distance (ly): 2800";
M36,5.6016666667,34.1333333333,"Other Names: NGC 1960
TYPE: Open Cluster
Constellation: Auriga
Viewing Season: Winter
Viewing Difficulty: Easy
Size: 12
Distance (ly): 4100";
M37,5.8733333333,32.55,"Other Names: NGC 2099
TYPE: Open Cluster
Constellation: Auriga
Viewing Season: Winter
Viewing Difficulty: Easy
Size: 24
Distance (ly): 4400";
M38,5.4783333333,35.8333333333,"Other Names: NGC 1912
TYPE: Open Cluster
Constellation: Auriga
Viewing Season: Winter
Viewing Difficulty: Easy
Size: 21
Distance (ly): 4200";
M39,21.5366666667,48.4333333333,"Other Names: NGC 7092
TYPE: Open Cluster
Constellation: Cygnus
Viewing Season: Autumn
Viewing Difficulty: Easy
Size: 32
Distance (ly): 825";
M40,12.37,58.0833333333,"Other Names: Winecke 4
TYPE: Double Star
Constellation: Ursa Major
Viewing Season: Spring
Viewing Difficulty: Easy
Size: 49
Distance (ly): 510";
M41,6.7833333333,-19.2666666667,"Other Names: NGC 2287
TYPE: Open Cluster
Constellation: Canis Major
Viewing Season: Winter
Viewing Difficulty: Easy
Size: 38
Distance (ly): 2300";
M42,5.59,-4.55,"Other Names: NGC 1976 Great Orion Nebula
TYPE: Diffuse Nebula
Constellation: Orion
Viewing Season: Winter
Viewing Difficulty: Very Easy
Size: 85x60
Distance (ly): 1600";
M43,5.5933333333,-4.7333333333,"Other Names: NGC 1982 de Mairan¹s Nebula
TYPE: Diffuse Nebula
Constellation: Orion
Viewing Season: Winter
Viewing Difficulty: Easy
Size: 20x15
Distance (ly): 1600";
M44,8.6683333333,19.9833333333,"Other Names: NGC 2632 Beehive Cluster (Praesepe)
TYPE: Open Cluster
Constellation: Cancer
Viewing Season: Winter
Viewing Difficulty: Easy
Size: 95
Distance (ly): 577";
M45,3.7833333333,24.12,"Other Names: Pleiades  Subaru  Seven Sisters
TYPE: Open Cluster
Constellation: Taurus
Viewing Season: Winter
Viewing Difficulty: Very Easy
Size: 110
Distance (ly): 380";
